id,listing_url,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_verifications,host_has_profile_pic,host_identity_verified,neighborhood,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
4461613,https://www.airbnb.com/rooms/4461613,city scrape,Comfy Beacon Hill Studio Great for Work Travel #13,"Our stylish and comfortable studio offers the luxury of home furnishings with the accessibility of downtown Boston and a short walk to Mass General Hospital.  <br /><br />Located in the historic Beacon Hill neighborhood, you’ll be immediately swept away by the old-school charm of this neighborhood. Surrounded by brownstones, coffee shops, and locals, you’ll feel right at home in this community. Steps away from the State House, MGH, and the Boston Common, this location is nothing short of perfect.","Beacon Hill is one of Boston’s most historic neighborhoods.<br /><br />Close to public transportation, the neighborhood offers antique shops, boutiques and restaurants.<br /><br />Beacon Hill is regarded as the most desirable and expensive neighborhood in Boston.<br /><br />Please note that we are located in the heart of the city and therefore subject to noise from street construction in the fall from the City of Boston. We are not given advance notice of these projects as they are unrelated to our business. This construction is usually not active during weekends or holidays.",https://a0.muscache.com/pictures/prohost-api/Hosting-4461613/original/6fa6aa90-1f6c-4444-969e-4ea03751f4a2.jpeg,22348222,https://www.airbnb.com/users/show/22348222,Maverick,10/9/14,"Massachusetts, United States",within an hour,100%,99%,f,https://a0.muscache.com/im/pictures/user/83361acc-5f58-40d8-91d4-ba09181ea77e.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/83361acc-5f58-40d8-91d4-ba09181ea77e.jpg?aki_policy=profile_x_medium,Beacon Hill,"['email', 'phone']",t,t,Beacon Hill,42.36017,-71.06346,Entire rental unit,Entire home/apt,2,1,1 bath,0,1,"[""Bed linens"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Self check-in"", ""Coffee maker"", ""Dedicated workspace"", ""Paid parking off premises"", ""Hot water"", ""Air conditioning"", ""Microwave"", ""Kitchen"", ""Shampoo"", ""Essentials"", ""Hangers"", ""Dryer"", ""Toaster"", ""TV with standard cable"", ""Dishes and silverware"", ""Shower gel"", ""Smoke alarm"", ""Wifi"", ""Smart lock"", ""Refrigerator"", ""Stove"", ""Heating"", ""Hair dryer"", ""Iron"", ""Washer""]",$219.00 ,1,1125,1,6,1125,1125,2.5,1125,,t,27,57,87,289,208,4.57,4.69,4.82,4.83,4.85,4.95,4.5,f,87,87,0,0,1.88
4461846,https://www.airbnb.com/rooms/4461846,city scrape,South End Studio Perfect for Work Travel #36,"The unit is stylishly designed for comfort, value and convenience. Centrally located on the line Boston’s Back Bay and South End. Quaint and chic are just 2 words to describe Boston’s South End neighborhood. In the past few years, the South End has grown to be one of Boston’s hottest neighborhoods built with families and young professionals in mind. Loaded with restaurants (some of the best in the city), art galleries, and boasting a modern industrial vibe, the South End is an ideal destination.","Conveniently bordering the neighborhoods of the South End, Back Bay and Copley Square –  Steps to public transportation, the financial district, The Copley Mall, and Newbury Street.",https://a0.muscache.com/pictures/prohost-api/Hosting-4461846/original/91e821c7-65f4-4805-bff3-ba1b37561290.jpeg,22348222,https://www.airbnb.com/users/show/22348222,Maverick,10/9/14,"Massachusetts, United States",within an hour,100%,99%,f,https://a0.muscache.com/im/pictures/user/83361acc-5f58-40d8-91d4-ba09181ea77e.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/83361acc-5f58-40d8-91d4-ba09181ea77e.jpg?aki_policy=profile_x_medium,Beacon Hill,"['email', 'phone']",t,t,South End,42.34441,-71.07633,Entire rental unit,Entire home/apt,2,1,1 bath,0,1,"[""Fire extinguisher"", ""Bed linens"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Self check-in"", ""Coffee maker"", ""Cooking basics"", ""Dedicated workspace"", ""Paid parking off premises"", ""Hot water"", ""Air conditioning"", ""Microwave"", ""Kitchen"", ""Shampoo"", ""Essentials"", ""Hangers"", ""Dryer"", ""Toaster"", ""TV with standard cable"", ""Dishes and silverware"", ""Shower gel"", ""Smoke alarm"", ""Wifi"", ""Smart lock"", ""Refrigerator"", ""Heating"", ""Hair dryer"", ""Iron"", ""Washer""]",$219.00 ,1,1125,1,6,1125,1125,2.5,1125,,t,27,57,87,353,102,4.56,4.68,4.78,4.87,4.82,4.95,4.4,t,87,87,0,0,0.92
4461901,https://www.airbnb.com/rooms/4461901,city scrape,"Stylish Downtown Studio in the SouthEnd, #8","The unit is stylishly designed for comfort, value and convenience. Centrally located on the line Boston’s Back Bay and South End. Quaint and chic are just 2 words to describe Boston’s South End neighborhood. In the past few years, the South End has grown to be one of Boston’s hottest neighborhoods built with families and young professionals in mind. Loaded with restaurants (some of the best in the city), art galleries, and boasting a modern industrial vibe, the South End is an ideal destination.","Conveniently bordering the neighborhoods of the South End, Back Bay and Copley Square –  Steps to public transportation, the financial district, The Copley Mall, and Newbury Street.",https://a0.muscache.com/pictures/94e89e36-a2a6-4d2d-a9e8-3a0ba23ea180.jpg,22348222,https://www.airbnb.com/users/show/22348222,Maverick,10/9/14,"Massachusetts, United States",within an hour,100%,99%,f,https://a0.muscache.com/im/pictures/user/83361acc-5f58-40d8-91d4-ba09181ea77e.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/83361acc-5f58-40d8-91d4-ba09181ea77e.jpg?aki_policy=profile_x_medium,Beacon Hill,"['email', 'phone']",t,t,South End,42.34447,-71.07644,Entire rental unit,Entire home/apt,2,1,1 bath,1,1,"[""Bed linens"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Self check-in"", ""Coffee maker"", ""Cooking basics"", ""Dedicated workspace"", ""Paid parking off premises"", ""Hot water"", ""Air conditioning"", ""Microwave"", ""Kitchen"", ""Shampoo"", ""Essentials"", ""Hangers"", ""Dryer"", ""Toaster"", ""TV with standard cable"", ""Dishes and silverware"", ""Smoke alarm"", ""Wifi"", ""Smart lock"", ""Refrigerator"", ""Stove"", ""Heating"", ""Hair dryer"", ""Iron"", ""Washer""]",$275.00 ,29,1125,29,29,1125,1125,29,1125,,t,28,58,88,298,172,4.56,4.76,4.79,4.84,4.79,4.92,4.43,f,87,87,0,0,1.56
4500409,https://www.airbnb.com/rooms/4500409,city scrape,"Stylish Studio in Back Bay, on Newbury St; #1","Our comfortable studio is centrally located on Boston's most Chic and Lively street. Newbury Street! Step outside our newly renovated Brownstone into the heart of the Back Bay. Take-in and explore our beautiful city by touring dozens of historic landmarks minutes from our studio,  indulge at one of our award winning neighboring restaurants , spoil yourself on Boston's most premier shopping destinations. There's something for everyone.  Let us host you and make your trip to Boston unforgettable.","Located in Boston’s award winning Back Bay district. Just steps from public transportation and trendy restaurants, shops, hair salons, upscale retail shopping financial and entertainment amenities Boston has to offer.",https://a0.muscache.com/pictures/prohost-api/Hosting-4500409/original/f1ac06a3-8cdd-4a1c-ac9f-90b45d3272d2.jpeg,22348222,https://www.airbnb.com/users/show/22348222,Maverick,10/9/14,"Massachusetts, United States",within an hour,100%,99%,f,https://a0.muscache.com/im/pictures/user/83361acc-5f58-40d8-91d4-ba09181ea77e.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/83361acc-5f58-40d8-91d4-ba09181ea77e.jpg?aki_policy=profile_x_medium,Beacon Hill,"['email', 'phone']",t,t,Back Bay,42.34982,-71.08264,Entire rental unit,Entire home/apt,2,1,1 bath,0,1,"[""Fire extinguisher"", ""Bed linens"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Self check-in"", ""Coffee maker"", ""Cooking basics"", ""Dedicated workspace"", ""Paid parking off premises"", ""Hot water"", ""Air conditioning"", ""Microwave"", ""Kitchen"", ""Shampoo"", ""Essentials"", ""Hangers"", ""Dryer"", ""Toaster"", ""TV with standard cable"", ""Dishes and silverware"", ""Smoke alarm"", ""Wifi"", ""Smart lock"", ""Refrigerator"", ""Stove"", ""Heating"", ""Hair dryer"", ""Iron"", ""Washer""]",$295.00 ,29,1124,29,29,1125,1125,29,1125,,t,9,39,69,256,164,4.6,4.75,4.78,4.91,4.84,4.96,4.52,f,87,87,0,0,1.51
4623114,https://www.airbnb.com/rooms/4623114,city scrape,South End Studio Perfect for Work Travel #46,"The unit is stylishly designed for comfort, value and convenience. Centrally located on the line Boston’s Back Bay and South End. Quaint and chic are just 2 words to describe Boston’s South End neighborhood. In the past few years, the South End has grown to be one of Boston’s hottest neighborhoods built with families and young professionals in mind. Loaded with restaurants (some of the best in the city), art galleries, and boasting a modern industrial vibe, the South End is an ideal destination.","Conveniently bordering the neighborhoods of the South End, Back Bay and Copley Square –  Steps to public transportation, the financial district, The Copley Mall, and Newbury Street.",https://a0.muscache.com/pictures/prohost-api/Hosting-4623114/original/5a37697d-74e6-4bd3-a06d-e03cb307ed1c.jpeg,22348222,https://www.airbnb.com/users/show/22348222,Maverick,10/9/14,"Massachusetts, United States",within an hour,100%,99%,f,https://a0.muscache.com/im/pictures/user/83361acc-5f58-40d8-91d4-ba09181ea77e.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/83361acc-5f58-40d8-91d4-ba09181ea77e.jpg?aki_policy=profile_x_medium,Beacon Hill,"['email', 'phone']",t,t,South End,42.34441,-71.07633,Entire rental unit,Entire home/apt,2,1,1 bath,0,1,"[""Bed linens"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Self check-in"", ""Coffee maker"", ""Cooking basics"", ""Dedicated workspace"", ""Paid parking off premises"", ""Hot water"", ""Air conditioning"", ""Microwave"", ""Kitchen"", ""Shampoo"", ""Essentials"", ""Hangers"", ""Dryer"", ""Toaster"", ""TV with standard cable"", ""Dishes and silverware"", ""Smoke alarm"", ""Wifi"", ""Smart lock"", ""Refrigerator"", ""Heating"", ""Hair dryer"", ""Iron"", ""Washer""]",$219.00 ,1,1125,1,6,1125,1125,2.5,1125,,t,27,57,87,362,160,4.64,4.76,4.84,4.84,4.84,4.94,4.55,f,87,87,0,0,1.49
5718801,https://www.airbnb.com/rooms/5718801,city scrape,"Heart of South End, Convenient, Comfy Studio #42","The unit is stylishly designed for comfort, value and convenience. Centrally located on the line Boston’s Back Bay and South End. Quaint and chic are just 2 words to describe Boston’s South End neighborhood. In the past few years, the South End has grown to be one of Boston’s hottest neighborhoods built with families and young professionals in mind. Loaded with restaurants (some of the best in the city), art galleries, and boasting a modern industrial vibe, the South End is an ideal destination.","Conveniently bordering the neighborhoods of the South End, Back Bay and Copley Square –  Steps to public transportation, the financial district, The Copley Mall, and Newbury Street.",https://a0.muscache.com/pictures/prohost-api/Hosting-5718801/original/192165c5-0c2c-4434-850e-5cfc7122e3e6.jpeg,22348222,https://www.airbnb.com/users/show/22348222,Maverick,10/9/14,"Massachusetts, United States",within an hour,100%,99%,f,https://a0.muscache.com/im/pictures/user/83361acc-5f58-40d8-91d4-ba09181ea77e.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/83361acc-5f58-40d8-91d4-ba09181ea77e.jpg?aki_policy=profile_x_medium,Beacon Hill,"['email', 'phone']",t,t,South End,42.34441,-71.07633,Entire rental unit,Entire home/apt,2,1,1 bath,0,1,"[""Bed linens"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Self check-in"", ""Coffee maker"", ""Dedicated workspace"", ""Paid parking off premises"", ""Hot water"", ""Air conditioning"", ""Microwave"", ""Kitchen"", ""Shampoo"", ""Essentials"", ""Hangers"", ""Dryer"", ""TV with standard cable"", ""Dishes and silverware"", ""Smoke alarm"", ""Wifi"", ""Smart lock"", ""Refrigerator"", ""Heating"", ""Hair dryer"", ""Iron"", ""Washer""]",$147.00 ,1,1125,1,6,1125,1125,2.6,1125,,t,1,8,12,207,153,4.52,4.74,4.74,4.85,4.8,4.95,4.42,f,87,87,0,0,1.4
5768819,https://www.airbnb.com/rooms/5768819,city scrape,"Stylish Downtown Studio in the SouthEnd, C.Ave# 4","The unit is stylishly designed for comfort, value and convenience. Centrally located on the line between Boston’s Back Bay and South End Neighborhoods. This unit is perfect for travelers, students or while visiting Boston on a Business trip. Our cozy studio will serve as your home away from home.","Conveniently bordering the neighborhoods of the South End, Back Bay and Copley Square –  Steps to public transportation, the financial district, The Copley Mall, and Newbury Street.",https://a0.muscache.com/pictures/prohost-api/Hosting-5768819/original/7b816aef-eb99-4ccd-9d00-473edf88cc5b.jpeg,22348222,https://www.airbnb.com/users/show/22348222,Maverick,10/9/14,"Massachusetts, United States",within an hour,100%,99%,f,https://a0.muscache.com/im/pictures/user/83361acc-5f58-40d8-91d4-ba09181ea77e.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/83361acc-5f58-40d8-91d4-ba09181ea77e.jpg?aki_policy=profile_x_medium,Beacon Hill,"['email', 'phone']",t,t,South End,42.34447,-71.07644,Entire rental unit,Entire home/apt,2,1,1 bath,0,1,"[""Bed linens"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Self check-in"", ""Coffee maker"", ""Cooking basics"", ""Dedicated workspace"", ""Paid parking off premises"", ""Hot water"", ""Air conditioning"", ""Microwave"", ""Kitchen"", ""Shampoo"", ""Essentials"", ""Hangers"", ""Dryer"", ""Toaster"", ""TV with standard cable"", ""Dishes and silverware"", ""Shower gel"", ""Smoke alarm"", ""Wifi"", ""Smart lock"", ""Refrigerator"", ""Stove"", ""Heating"", ""Hair dryer"", ""Iron"", ""Washer""]",$242.00 ,29,1125,29,29,1125,1125,29,1125,,t,26,56,86,293,150,4.45,4.74,4.81,4.89,4.84,4.91,4.46,f,87,87,0,0,1.4
5769127,https://www.airbnb.com/rooms/5769127,previous scrape,"Stylish Downtown Studio in the SouthEnd, C.Ave# 3","The unit is stylishly designed for comfort, value and convenience. Centrally located on the line Boston’s Back Bay and South End. Quaint and chic are just 2 words to describe Boston’s South End neighborhood. In the past few years, the South End has grown to be one of Boston’s hottest neighborhoods built with families and young professionals in mind. Loaded with restaurants (some of the best in the city), art galleries, and boasting a modern industrial vibe, the South End is an ideal destination.","Conveniently bordering the neighborhoods of the South End, Back Bay and Copley Square –  Steps to public transportation, the financial district, The Copley Mall, and Newbury Street.",https://a0.muscache.com/pictures/37e74939-0010-4fbc-a4c3-b71978c14b09.jpg,22348222,https://www.airbnb.com/users/show/22348222,Maverick,10/9/14,"Massachusetts, United States",within an hour,100%,99%,f,https://a0.muscache.com/im/pictures/user/83361acc-5f58-40d8-91d4-ba09181ea77e.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/83361acc-5f58-40d8-91d4-ba09181ea77e.jpg?aki_policy=profile_x_medium,Beacon Hill,"['email', 'phone']",t,t,South End,42.34447,-71.07644,Entire rental unit,Entire home/apt,2,,1 bath,,,"[""Bed linens"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Self check-in"", ""Coffee maker"", ""Cooking basics"", ""Dedicated workspace"", ""Paid parking off premises"", ""Hot water"", ""Air conditioning"", ""Microwave"", ""Kitchen"", ""Shampoo"", ""Essentials"", ""Hangers"", ""Dryer"", ""TV with standard cable"", ""Dishes and silverware"", ""Shower gel"", ""Smoke alarm"", ""Wifi"", ""Smart lock"", ""Refrigerator"", ""Stove"", ""Heating"", ""Hair dryer"", ""Iron"", ""Washer""]",,29,1125,29,29,1125,1125,29,1125,,t,0,4,19,74,310,4.55,4.75,4.72,4.94,4.82,4.92,4.46,f,87,87,0,0,2.82
6758443,https://www.airbnb.com/rooms/6758443,city scrape,"Stylish Downtown Studio in the SouthEnd, C.Ave# 45","The unit is stylishly designed for comfort, value and convenience. Centrally located on the line Boston’s Back Bay and South End. Quaint and chic are just 2 words to describe Boston’s South End neighborhood. In the past few years, the South End has grown to be one of Boston’s hottest neighborhoods built with families and young professionals in mind. Loaded with restaurants (some of the best in the city), art galleries, and boasting a modern industrial vibe, the South End is an ideal destination.","Filled with restaurants, bakeries, art galleries, and local shops, there is no wrong turn when traveling through Boston’s bustling South End neighborhood. This location is walking distance to the Symphony, Prudential Center, and is a short train or bus ride to Downtown Boston, South Boston and the Seaport.",https://a0.muscache.com/pictures/prohost-api/Hosting-6758443/original/006381c8-5332-4496-bcd9-0f5309f29ce5.jpeg,22348222,https://www.airbnb.com/users/show/22348222,Maverick,10/9/14,"Massachusetts, United States",within an hour,100%,99%,f,https://a0.muscache.com/im/pictures/user/83361acc-5f58-40d8-91d4-ba09181ea77e.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/83361acc-5f58-40d8-91d4-ba09181ea77e.jpg?aki_policy=profile_x_medium,Beacon Hill,"['email', 'phone']",t,t,South End,42.34441,-71.07633,Entire rental unit,Entire home/apt,2,1,1 bath,1,1,"[""Bed linens"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Self check-in"", ""Coffee maker"", ""Cooking basics"", ""Dedicated workspace"", ""Paid parking off premises"", ""Hot water"", ""Air conditioning"", ""Microwave"", ""Kitchen"", ""Shampoo"", ""Essentials"", ""Hangers"", ""Dryer"", ""TV with standard cable"", ""Dishes and silverware"", ""Shower gel"", ""Smoke alarm"", ""Wifi"", ""Smart lock"", ""Refrigerator"", ""Hair dryer"", ""Iron"", ""Washer""]",$148.00 ,1,1125,1,6,1125,1125,2.6,1125,,t,9,20,25,263,252,4.6,4.71,4.73,4.84,4.88,4.95,4.41,f,87,87,0,0,2.3
6758462,https://www.airbnb.com/rooms/6758462,city scrape,"Stylish Downtown Studio in the SouthEnd, C.Ave# 43","The unit is stylishly designed for comfort, value and convenience. Centrally located on the line Boston’s Back Bay and South End. Quaint and chic are just 2 words to describe Boston’s South End neighborhood. In the past few years, the South End has grown to be one of Boston’s hottest neighborhoods built with families and young professionals in mind. Loaded with restaurants (some of the best in the city), art galleries, and boasting a modern industrial vibe, the South End is an ideal destination.","Bordering the neighborhoods of the South End and Back Bay – Literally steps to the financial district, The Copley Mall, and Newbury Street where you will find some of the world’s finest shopping.",https://a0.muscache.com/pictures/prohost-api/Hosting-6758462/original/a7fff3d0-43ab-424a-addd-d0d0f13d4318.jpeg,22348222,https://www.airbnb.com/users/show/22348222,Maverick,10/9/14,"Massachusetts, United States",within an hour,100%,99%,f,https://a0.muscache.com/im/pictures/user/83361acc-5f58-40d8-91d4-ba09181ea77e.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/83361acc-5f58-40d8-91d4-ba09181ea77e.jpg?aki_policy=profile_x_medium,Beacon Hill,"['email', 'phone']",t,t,South End,42.34441,-71.07633,Entire rental unit,Entire home/apt,2,1,1 bath,0,1,"[""Bed linens"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Self check-in"", ""Coffee maker"", ""Cooking basics"", ""Dedicated workspace"", ""Paid parking off premises"", ""Hot water"", ""Air conditioning"", ""Microwave"", ""Kitchen"", ""Shampoo"", ""Essentials"", ""Hangers"", ""Dryer"", ""TV with standard cable"", ""Dishes and silverware"", ""Smoke alarm"", ""Wifi"", ""Smart lock"", ""Refrigerator"", ""Heating"", ""Iron"", ""Washer""]",$158.00 ,1,1125,1,6,1125,1125,2.6,1125,,t,13,36,66,339,153,4.5,4.51,4.72,4.88,4.77,4.88,4.34,t,87,87,0,0,1.74
